label,duration,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,file,strain
upward ramp,0.022,,52700,53700,54600,55600,56600,58100,58500,,,T0000085,SD
upward ramp,0.0332,,42900,44400,,46300,,,51700,,,T0000085,SD
upward ramp,0.0209,,,,,,,,,,,T0000085,SD
upward ramp,0.0322,,56100,58100,58500,58500,60000,61500,,,,T0000085,SD
upward ramp,0.023,,,,,,,,58500,,,T0000085,SD
upward ramp,0.0133,,,,,,,,,,,T0000085,SD
,0.0486,,,,,,,,,,,T0000085,SD
,0.0906,,,,,,,,,,,T0000085,SD
,0.0281,,,,,,,,45400,,,T0000085,SD
,0.0547,,,,,,,,,50700,,T0000085,SD
,0.0435,,,,,,,,,,,T0000085,SD
,0.0235,,,,,,,,,,,T0000085,SD
,0.0368,,47800,,,,,,,,,T0000085,SD
,0.0163,,,,,,,,,,,T0000085,SD
,0.0235,,,,,,,,,,,T0000085,SD
,0.0153,,,,,,,,,,,T0000085,SD
,0.0583,,,52700,51200,50200,43400,43900,43900,43400,,T0000085,SD
,0.0291,,,,,,,,,,,T0000085,SD
trill,0.0337,,,54600,,,56600,57100,55600,53200,,T0000085,SD
step up,0.1203,,40500,,,,,,,,52200,T0000085,SD
step up,0.043,41000,41500,,,,,62500,62500,63400,63400,T0000085,SD
step up,0.0901,,,,,,,,,,,T0000085,SD
step up,0.0465,,41500,,,,50700,50200,,51200,,T0000085,SD
step up,0.0865,,41900,41500,41900,41900,,,,54100,,T0000085,SD
step up,0.0471,,42400,,,,,,,,,T0000085,SD
step up,0.1162,,,44900,43900,,55600,54600,52200,51200,,T0000085,SD
step up,0.0962,,,43400,,,43900,,,,,T0000085,SD
step up,0.0517,,,,,,,,,,,T0000085,SD
step up,0.0343,,,41000,,,52700,52200,52200,,,T0000085,SD
step up,0.132,40500,40500,40000,39500,39500,39000,39000,49800,49300,49300,T0000085,SD
step up,0.1177,,42400,41000,40000,39500,39500,40500,,55600,,T0000085,SD
step down,0.0788,,,,81000,,,,,,,T0000085,SD
step down,0.1628,,,54100,,,,43900,43900,,42900,T0000085,SD
step down,0.0906,,,,,,40500,40500,40500,,,T0000085,SD
step down,0.0599,,,,,,,,,,,T0000085,SD
step down,0.0583,,,,,,,,,,,T0000085,SD
step down,0.0906,,58500,,,,43900,44400,,44400,,T0000085,SD
step down,0.0445,,,,,,,43400,,,,T0000085,SD
step down,0.1315,,,,,,,,,,,T0000085,SD
step down,0.0276,,52200,53700,54100,,,,,,,T0000085,SD
step down,0.0286,,55600,56100,56100,,,,,,,T0000085,SD
step down,0.1003,,79500,,,,,,,,,T0000085,SD
step down,0.1029,,53200,52200,53700,,,43400,42900,43400,,T0000085,SD
step down,0.2068,,,,,,40500,80500,,80500,,T0000085,SD
step down,0.0721,,,,44900,44400,89300,,52700,55600,,T0000085,SD
step down,0.0455,,,,,,,,,,,T0000085,SD
step down,0.0803,58100,,42900,41000,,,,,,,T0000085,SD
step down,0.0588,49800,49800,,,,,,,,,T0000085,SD
step down,0.1064,57600,57100,,56600,58100,,42400,42400,,,T0000085,SD
short-ur,0.0081,,,53200,53700,,,,,,56600,T0000085,SD
short-ur,0.0102,,,,,54600,,55100,55100,55600,,T0000085,SD
short-ur,0.0102,,52700,53200,54100,54600,55600,,,,,T0000085,SD
short-ur,0.0076,,71700,72200,72700,72700,,,,,,T0000085,SD
short-ur,0.0112,,53200,54100,54600,,,57100,57600,57600,,T0000085,SD
short-su,0.0051,,,,,,,73700,73700,73700,73700,T0000085,SD
short-dr,0.0087,,77600,,,,,,,,,T0000085,SD
short-dr,0.0092,,,,,,,,,,,T0000085,SD
short-c,0.0112,49800,50700,50700,53200,53200,54100,54600,,,,T0000085,SD
short,0.0087,,,,,,,,,,,T0000085,SD
short,0.0087,,,50200,50700,50200,49300,49300,,,,T0000085,SD
short,0.0107,,51700,52200,53200,53200,53700,53700,53700,53700,,T0000085,SD
short,0.0051,,,,,,43400,43400,43400,43400,,T0000085,SD
short,0.004,,,,33200,33200,33200,,,,,T0000085,SD
short,0.0092,,42400,,41900,41900,,41500,41900,,,T0000085,SD
short,0.0071,52700,53200,53200,53200,,,,,,,T0000085,SD
short,0.0056,,,45800,45800,,,,,,,T0000085,SD
short,0.0087,,,,,,42900,,42900,,,T0000085,SD
short,0.0081,,,,41900,41900,41900,41900,41500,41500,,T0000085,SD
short,0.0087,,,,,55600,55600,56100,55600,55600,,T0000085,SD
short,0.0117,,,,,,,,,,,T0000085,SD
short,0.004,,,52700,52700,,52700,,,,,T0000085,SD
short,0.0097,,,50200,50200,50200,49800,,,,,T0000085,SD
short,0.0076,,,,,66400,66400,,66400,,,T0000085,SD
short,0.0081,,,83900,83900,83900,83900,83900,84400,,,T0000085,SD
short,0.0061,,,,,,,,,,,T0000085,SD
short,0.0097,,,,,,,,,,,T0000085,SD
short,0.004,,,,,,,,,,,T0000085,SD
short,0.0035,,,53700,53700,53700,53700,53700,53700,53700,,T0000085,SD
short,0.004,,,,,,,,,,,T0000085,SD
short,0.0071,56100,56100,56100,56600,56100,56100,54600,54600,,,T0000085,SD
short,0.0107,,,,51200,50700,,49800,50200,49800,,T0000085,SD
short,0.0087,,,,,,,,,,,T0000085,SD
short,0.0061,,,,,,51200,51700,51700,,,T0000085,SD
short,0.0046,,,,,,,52700,,,,T0000085,SD
short,0.0102,,,,,,,,,,,T0000085,SD
short,0.0076,,,,55100,55100,55600,,55600,,,T0000085,SD
short,0.0081,,,,,,,53700,53700,,,T0000085,SD
short,0.0092,,,,,,,,,,,T0000085,SD
short,0.0092,56600,57600,57600,58500,58500,58500,58500,,,,T0000085,SD
short,0.0117,,56600,56600,57100,57600,57600,57600,57100,,,T0000085,SD
short,0.0066,,,,,,,,,,,T0000085,SD
short,0.0081,,,,,,,,,,,T0000085,SD
short,0.0087,,,,,,,,,,,T0000085,SD
short,0.0102,,,,,,,,,,,T0000085,SD
short,0.0097,,,,59500,59500,59500,59500,60000,60000,,T0000085,SD
short,0.0097,,,,42900,,,,41000,,,T0000085,SD
short,0.0066,,,,56600,56600,56600,56600,,,,T0000085,SD
short,0.0097,,,,,,,,,,,T0000085,SD
short,0.0087,,,,50700,50700,50700,51200,51200,,,T0000085,SD
short,0.0097,,,,,,53700,,,,,T0000085,SD
short,0.0061,,55100,,55100,55100,,55600,55600,,,T0000085,SD
short,0.0081,58100,58100,58500,58500,58500,58500,58500,58500,58500,,T0000085,SD
short,0.0087,,,,,,,,,,,T0000085,SD
short,0.0107,,,,,,,43900,44900,,,T0000085,SD
short,0.0128,,,,,,58500,,59000,59500,,T0000085,SD
short,0.004,,,,,,,,,,,T0000085,SD
short,0.0061,,,,,,,57600,57600,57600,,T0000085,SD
short,0.0092,,,,,,,,,,,T0000085,SD
short,0.0066,,,,,,59500,60000,,,,T0000085,SD
short,0.0102,,,,,,,51700,,,,T0000085,SD
short,0.0092,,,,,,,,,,,T0000085,SD
short,0.0092,,,,,,,,,,,T0000085,SD
short,0.0092,,,,,,,,,,,T0000085,SD
short,0.0066,,,,,,,,,,,T0000085,SD
short,0.0066,,,,,,,51700,,,,T0000085,SD
short,0.0092,,,,,,,,,,,T0000085,SD
short,0.0117,,,,,,52200,52200,51700,,,T0000085,SD
short,0.0097,,,,,,,,,,,T0000085,SD
short,0.0056,,,,,,,56600,57100,,,T0000085,SD
short,0.0097,,,51700,51200,51200,51200,,,,,T0000085,SD
short,0.0076,,,,49300,,49300,49800,,49300,,T0000085,SD
short,0.0056,,,,,,,,,,,T0000085,SD
short,0.0112,,,,,,,,,,,T0000085,SD
short,0.0112,,,,,,,,,,,T0000085,SD
short,0.0112,,,,,,,,,,,T0000085,SD
short,0.0117,,,,,,,,,,,T0000085,SD
short,0.0071,,,,,,,,,,,T0000085,SD
short,0.0066,,,,,,,,,,,T0000085,SD
short,0.0056,,,,,,,,,,,T0000085,SD
short,0.0092,,,,,,,,,,,T0000085,SD
short,0.0117,,,53200,53200,53200,53200,,,,,T0000085,SD
short,0.0061,,,,,,,,,,,T0000085,SD
short,0.0046,,,,,,,,,,,T0000085,SD
short,0.0102,,,,,,,,,,,T0000085,SD
short,0.0102,,,,,,,,,,,T0000085,SD
short,0.0066,,,,,,,,,,,T0000085,SD
short,0.003,,,,,,,,,,,T0000085,SD
short,0.0112,,,53200,,,52700,52700,,,,T0000085,SD
short,0.0071,,,,,,,,,,,T0000085,SD
short,0.0056,,,,,,,,,,,T0000085,SD
short,0.0076,,,,,,53700,,54100,53200,,T0000085,SD
short,0.0071,,53700,53200,53200,,,,,,,T0000085,SD
short,0.0117,,,,44400,,44900,45400,45800,,,T0000085,SD
short,0.004,,,,,,,,,,,T0000085,SD
short,0.0066,,,,,,,,,,,T0000085,SD
short,0.0051,,,,53200,,53200,,,,,T0000085,SD
short,0.0081,,,,,,,,,,,T0000085,SD
short,0.0076,,,,,,,,,,,T0000085,SD
short,0.0102,,,,,,,,,,,T0000085,SD
short,0.0056,,45800,,45800,,,,,,,T0000085,SD
short,0.0061,,,,,,,,,,,T0000085,SD
short,0.0102,,,,,,,,,,,T0000085,SD
short,0.0097,,,,,,,,,,,T0000085,SD
short,0.0046,,,,,,,,,,,T0000085,SD
short,0.0051,,,,,,,44400,44400,44400,,T0000085,SD
short,0.0071,,,,52700,,,,,,,T0000085,SD
short,0.0051,,,,,,52700,53200,,,,T0000085,SD
short,0.0035,,,,,,,,,,,T0000085,SD
short,0.0056,,,,,,55600,,,,,T0000085,SD
short,0.0046,,,,,,,,,,,T0000085,SD
short,0.0102,,,,,,,,,,,T0000085,SD
short,0.0066,57600,57600,,57600,,,,,,,T0000085,SD
short,0.0071,,49800,,,,,,,,,T0000085,SD
short,0.0066,,,,,,,,,,,T0000085,SD
short,0.0066,,,,,54600,,,,,,T0000085,SD
short,0.0092,,,,,,,,,,,T0000085,SD
short,0.0112,,,,50700,,,,,,,T0000085,SD
short,0.0097,,,59000,59500,,,,,,,T0000085,SD
short,0.0056,,51200,,,51700,51700,,,,,T0000085,SD
short,0.0056,,,,,,,,,,,T0000085,SD
short,0.0056,,,,,,,,,,,T0000085,SD
short,0.004,,,,,,,,,,,T0000085,SD
short,0.003,,,,,,,,,,,T0000085,SD
short,0.0035,,,,,,,,,,,T0000085,SD
short,0.0046,,,,,,,,,,,T0000085,SD
short,0.0128,,41000,41000,41000,41000,40500,40000,,,,T0000085,SD
short,0.0081,51700,53200,,53700,53700,53700,53700,53200,,,T0000085,SD
short,0.0051,51700,51700,51700,51700,51700,52200,52200,52200,52200,,T0000085,SD
short,0.0081,54100,54100,,55100,,,,,,,T0000085,SD
short,0.0112,,51700,52700,53200,53700,54100,54600,,55100,,T0000085,SD
short,0.0087,,,,,,47300,47300,,,,T0000085,SD
short,0.0046,,,55100,55600,55600,55600,55600,56100,,,T0000085,SD
short,0.0112,,55600,56100,56600,56600,56600,56100,55600,,,T0000085,SD
short,0.0081,44900,44900,44900,44900,44400,44900,44900,44900,,,T0000085,SD
short,0.0087,53200,53700,53700,54100,54100,54100,54100,54100,53700,53700,T0000085,SD
short,0.0056,42400,42900,42900,42900,42900,42900,42900,42900,,,T0000085,SD
short,0.0117,,43400,43400,43400,,,,,,,T0000085,SD
short,0.0051,,41500,41500,41900,41900,41900,41900,41500,41500,,T0000085,SD
short,0.0076,,,,,,48300,48300,48300,,,T0000085,SD
short,0.0056,42400,42400,42400,42400,42400,,,,,,T0000085,SD
short,0.0087,,,,,,,56100,56600,56600,56600,T0000085,SD
short,0.004,,,,,,47800,47800,,,,T0000085,SD
short,0.0015,,,,42400,42400,42400,,,,,T0000085,SD
short,0.004,,,,42400,,,,41500,,,T0000085,SD
short,0.0061,42400,42900,42900,42900,42900,42900,42900,42400,42900,,T0000085,SD
short,0.004,,,,43400,,43900,44400,44400,44400,,T0000085,SD
short,0.0056,,,,,,55100,55100,,,,T0000085,SD
short,0.004,52200,52200,52200,52200,52200,52200,,52200,,,T0000085,SD
short,0.0046,55600,55600,56100,55600,56100,56100,56100,55600,56100,,T0000085,SD
short,0.0117,52700,52700,53200,53200,53700,53700,53700,53700,53700,53700,T0000085,SD
short,0.0076,53700,54100,54600,54600,,55600,55600,55600,56100,,T0000085,SD
short,0.0102,,42900,43400,43400,43400,43400,,42900,,,T0000085,SD
short,0.0035,,,,51700,51700,51700,51700,51700,,,T0000085,SD
short,0.0056,,,,,53200,53700,53700,54100,53700,,T0000085,SD
short,0.0056,,54600,55100,55100,55600,56100,56600,,,,T0000085,SD
short,0.0071,52200,52200,52700,52700,52700,52200,52200,51700,51700,,T0000085,SD
short,0.0061,,,52200,,,,,51700,,,T0000085,SD
short,0.0071,58500,59000,,,,,,,,,T0000085,SD
short,0.0061,,,,,,,62500,,62900,,T0000085,SD
short,0.0025,,,,,,,,,,,T0000085,SD
short,0.0071,56100,56100,56600,56600,56600,56600,57100,57100,57600,57100,T0000085,SD
short,0.003,,,52200,52700,52700,52700,52200,52200,52200,,T0000085,SD
short,0.0092,,53200,52700,52700,52700,52200,52200,52200,51700,,T0000085,SD
short,0.004,,,,61000,61000,,61500,61500,,,T0000085,SD
short,0.0051,,60000,60000,60500,60500,60500,60500,60500,,,T0000085,SD
short,0.0112,,45400,45800,45800,45800,,46300,46300,,,T0000085,SD
short,0.0102,44400,44400,44400,44900,44900,44400,44400,43900,43400,,T0000085,SD
short,0.0117,54100,54100,54600,54100,54100,53700,53700,,,,T0000085,SD
short,0.0087,,53200,53700,53700,53700,53200,53200,52700,,,T0000085,SD
short,0.0035,56600,56600,56600,56600,56600,56600,56600,56600,,,T0000085,SD
short,0.0081,53200,53700,53700,53700,53700,53700,,,,,T0000085,SD
short,0.0097,,49800,50200,50200,49800,49800,49800,49800,,,T0000085,SD
short,0.0066,43900,43900,43900,43900,43900,43900,43900,43400,43400,,T0000085,SD
short,0.0071,46300,46300,45800,45800,45400,44900,44400,43900,,,T0000085,SD
short,0.0056,,53200,,,52700,,,,,,T0000085,SD
short,0.0046,52200,52700,53200,53200,53700,53700,53700,53700,53700,53700,T0000085,SD
short,0.0046,,59500,,,57100,,,,,,T0000085,SD
short,0.0051,,56100,55600,55600,55600,55600,,55100,,,T0000085,SD
short,0.0046,51700,52200,,,,55100,,,,,T0000085,SD
short,0.0097,44900,44900,44900,44900,44900,44900,44900,44900,44900,,T0000085,SD
short,0.0087,58100,58500,58500,59000,59000,59000,59000,,59000,59000,T0000085,SD
short,0.0102,,,43900,43900,43900,44400,44400,44400,,,T0000085,SD
short,0.0035,,,74700,,,,74700,75100,,,T0000085,SD
short,0.0061,,31700,31700,30700,30200,30200,30200,,,,T0000085,SD
short,0.0117,52200,52700,52700,53200,53200,53700,54100,54600,55100,,T0000085,SD
short,0.0107,50700,50700,50700,50700,50700,50700,50700,50200,50700,,T0000085,SD
short,0.0071,,,,,52200,52200,52700,53200,53200,52700,T0000085,SD
short,0.0087,,,54600,54600,54600,54600,54600,54600,54100,54100,T0000085,SD
short,0.0087,,,,,,,,59500,,,T0000085,SD
short,0.0117,43900,43900,43900,43400,43400,43400,43400,43400,,,T0000085,SD
inverted-u,0.0133,48800,49300,50700,51700,,,,54600,,,T0000085,SD
inverted-u,0.0168,53200,,,58100,57600,57600,56600,,,,T0000085,SD
inverted-u,0.0215,,,56600,,,,,,,,T0000085,SD
flat-z,0.1121,,45800,,,,,43400,43400,43400,,T0000085,SD
flat-z,0.0691,,49800,48800,54100,53700,53700,53200,54100,54100,,T0000085,SD
flat-z,0.0819,,50700,49300,,,49800,48800,,48300,,T0000085,SD
flat-z,0.0783,,,,,43900,43900,,44400,52700,,T0000085,SD
flat-z,0.172,,53200,,,,51200,50700,49800,,,T0000085,SD
flat-z,0.0558,,,,,,,,,46300,,T0000085,SD
flat-z,0.151,,54600,52700,45800,,54600,42900,,,,T0000085,SD
flat-z,0.1382,,,,,,53700,51700,50200,50700,45800,T0000085,SD
flat-z,0.1233,,,,,55600,56100,55100,53200,51700,,T0000085,SD
flat-z,0.2176,,,45800,53700,51200,44900,45400,,,,T0000085,SD
flat-z,0.1443,,,,,40000,40000,40000,,,,T0000085,SD
flat-z,0.0952,,48800,46800,,,41000,41000,,41900,,T0000085,SD
flat-z,0.0768,50700,50700,50700,50700,50200,49800,49800,49800,50200,,T0000085,SD
flat-z,0.0573,,,,,,,,,,,T0000085,SD
flat-z,0.066,,,,,,,,,,,T0000085,SD
flat-z,0.0624,,42400,45400,,53700,43400,42400,,,,T0000085,SD
flat-z,0.1152,,,,,,,43400,44900,43400,43900,T0000085,SD
flat-z,0.0793,,44900,45800,50700,,41900,42400,,,,T0000085,SD
flat-z,0.0552,,,,,49800,,,43400,,,T0000085,SD
flat-z,0.1146,,,,43400,,40000,79100,,,,T0000085,SD
flat-z,0.1141,43400,47800,46800,46300,46300,41900,41900,42400,42900,41900,T0000085,SD
flat-z,0.0849,,45800,,46800,50200,49300,45400,45400,44900,44400,T0000085,SD
flat-z,0.1095,51700,51200,42400,,,49800,48800,48300,,,T0000085,SD
flat-z,0.0747,,,,,,,,,,,T0000085,SD
flat-z,0.0721,,,,,,,,,41900,,T0000085,SD
flat-z,0.0517,49300,49800,50200,50200,49800,,,,,41900,T0000085,SD
flat-z,0.0491,41900,41900,41900,,,48300,48300,48800,48800,,T0000085,SD
flat-z,0.0419,,,,,45400,45400,44900,44400,,,T0000085,SD
flat-z,0.0593,,,,,,,,,,,T0000085,SD
flat-z,0.0522,,,,,,,,,,,T0000085,SD
flat-z,0.2094,,41500,40000,41000,41500,40500,,39500,40500,,T0000085,SD
flat-z,0.1576,42900,41900,41900,,,,,,,42400,T0000085,SD
flat-z,0.0808,,,43400,,,,,,,,T0000085,SD
flat-z,0.0962,,,47300,,47300,,,46300,,,T0000085,SD
flat-z,0.0404,,,42400,,,,,,,,T0000085,SD
flat-z,0.087,,47800,46300,43900,42900,42900,42900,42900,42900,,T0000085,SD
flat-z,0.0675,,48300,47300,46800,43900,42900,42900,42900,,,T0000085,SD
flat-z,0.0803,,47300,44400,,42900,41900,,,42400,,T0000085,SD
flat-z,0.0215,,,49800,,,,,45800,,,T0000085,SD
flat-z,0.1136,,,,,40000,39000,38500,38500,,,T0000085,SD
flat-z,0.043,,,47300,,,47300,,,,50700,T0000085,SD
flat-z,0.0952,,,,45800,,,,41500,42400,,T0000085,SD
flat-z,0.1157,,,46300,,41900,41900,42400,,,,T0000085,SD
flat-z,0.0481,,,46300,44900,,,,43900,43900,,T0000085,SD
flat-z,0.1146,,,,42400,,,,,,,T0000085,SD
flat-z,0.0645,,,,,,,,,,,T0000085,SD
flat-z,0.0512,,48300,,,,,43400,43900,44400,,T0000085,SD
flat-z,0.0701,,,43400,,,,,,,,T0000085,SD
flat-z,0.0977,,,,,,,,,,,T0000085,SD
flat-z,0.1551,,47300,,42900,,,42400,,,,T0000085,SD
flat-z,0.1832,,47300,47300,47800,,47800,43400,42900,,,T0000085,SD
flat-z,0.0389,,49800,50200,49800,49800,49800,49300,49300,,,T0000085,SD
flat-z,0.067,,,,,,,,,,,T0000085,SD
flat-z,0.0977,,,,,,,,,,,T0000085,SD
flat-z,0.1177,,,42900,,,,,,43900,,T0000085,SD
flat-z,0.0993,,46800,42900,,,,,,,,T0000085,SD
flat-z,0.0757,,47800,,,41500,,,,,,T0000085,SD
flat-z,0.0547,,51700,,,,,,,,,T0000085,SD
flat-z,0.0332,,,45800,42900,,,,,,,T0000085,SD
flat-z,0.1167,,46300,,,,,,,50700,,T0000085,SD
flat-z,0.0384,,,,,46300,,,,,,T0000085,SD
flat-z,0.068,,,41900,,,,,,,,T0000085,SD
flat-z,0.0435,,,,47800,,,43900,43400,43400,,T0000085,SD
flat-z,0.0931,,42400,,,,,,,,,T0000085,SD
flat-z,0.0967,,,,,,,49800,48300,,49300,T0000085,SD
flat-z,0.0358,,48300,47800,47300,46800,46300,,43900,43900,,T0000085,SD
flat-z,0.1233,,,,,,,,,,,T0000085,SD
flat-z,0.0936,,,46300,,,,,,,,T0000085,SD
flat-z,0.0686,50700,50200,48300,46800,,43400,,,44900,,T0000085,SD
flat-z,0.0327,,,,,,,,,,,T0000085,SD
flat-z,0.0721,,,,,,,43400,,,,T0000085,SD
flat-z,0.1029,,,95700,,,,,,,,T0000085,SD
flat-z,0.064,,48300,,46300,,42900,42400,42400,42900,,T0000085,SD
flat-z,0.0849,,,43900,,,,,,,,T0000085,SD
flat-z,0.109,,47300,,,,,,,,,T0000085,SD
flat-z,0.0593,,,,,,43400,,,,44900,T0000085,SD
flat-z,0.0921,,,47300,,41500,40500,40000,,,,T0000085,SD
flat-z,0.0184,,48800,,48300,,47800,,,43400,,T0000085,SD
flat-z,0.0829,,52200,51700,51200,51200,51200,50700,50200,50200,,T0000085,SD
flat-z,0.0906,,47800,,,48300,47800,47800,48300,,,T0000085,SD
flat-z,0.0435,,49300,48300,,,43900,,,,,T0000085,SD
flat-z,0.0547,,48300,,,,,43900,43900,42900,,T0000085,SD
flat-z,0.0855,,,,43900,44400,47800,,,,,T0000085,SD
flat-z,0.0583,,51200,,,,,,44900,43400,,T0000085,SD
flat-z,0.0593,,,50200,49800,49300,,47800,47800,44400,,T0000085,SD
flat-z,0.0327,,44900,,,,,,,,,T0000085,SD
flat-z,0.0839,,,,41900,,,,,,,T0000085,SD
flat-z,0.024,,,,,,,,,,,T0000085,SD
flat-z,0.0174,,,,,,,,,,,T0000085,SD
flat-z,0.0972,,44900,,,,,,,,,T0000085,SD
flat-z,0.0568,,,,,,,,,,,T0000085,SD
flat-z,0.1336,48300,44400,43400,42900,42900,42900,42900,,,,T0000085,SD
flat-z,0.0819,,,,,,,,,,,T0000085,SD
flat-z,0.0737,,,,,,,,,,,T0000085,SD
flat-z,0.0389,,,,,,43400,43400,,,,T0000085,SD
flat-z,0.046,,,,,,,,,,,T0000085,SD
flat-z,0.0747,,,,,48300,,,,,,T0000085,SD
flat-z,0.0588,,,42900,42400,,,,52200,,,T0000085,SD
flat-z,0.0343,,49300,49300,49300,49300,49300,49800,45400,45400,,T0000085,SD
flat-z,0.0778,,,44400,44400,44400,,,47800,,,T0000085,SD
flat-z,0.0737,,,46800,43400,,,,45400,,,T0000085,SD
flat-z,0.086,,,,,,,,,49300,,T0000085,SD
flat-z,0.0583,,,42900,,,,40500,,,,T0000085,SD
flat-z,0.0424,,,,,44400,,,44400,44900,,T0000085,SD
flat-z,0.0593,,,51700,50700,,,,,,,T0000085,SD
flat-z,0.0537,51700,51200,50700,50200,44900,,,,,,T0000085,SD
flat-z,0.0404,,,45400,,,,,,49300,,T0000085,SD
flat-z,0.1136,,53700,52700,,,,45400,,,,T0000085,SD
flat-z,0.0476,,,54100,53700,53200,52700,51700,47300,,,T0000085,SD
flat-z,0.0972,,,51700,45400,,,,,,,T0000085,SD
flat-z,0.0645,,,,,,,,,,,T0000085,SD
flat-z,0.0721,49800,,,,,,,,,,T0000085,SD
flat-z,0.0803,,,47800,46800,43900,42900,42400,42400,42400,,T0000085,SD
flat-z,0.0998,,48800,44900,43900,42900,42400,42900,42400,,,T0000085,SD
flat-z,0.0624,,54600,53200,52200,46800,,,46800,47300,,T0000085,SD
flat-z,0.0568,,50700,,45400,45400,44900,,,,,T0000085,SD
flat-z,0.086,,49800,49800,,,,,45800,,,T0000085,SD
flat-z,0.0578,,50200,,42400,41900,41500,41000,,,,T0000085,SD
flat-z,0.0599,,,,,,,,,,,T0000085,SD
flat-z,0.0527,,46800,,,43400,43400,43400,43400,44400,,T0000085,SD
flat-z,0.0716,,,,,,43900,43400,43400,43900,,T0000085,SD
flat-z,0.043,,,,49300,,48800,47300,,44400,,T0000085,SD
flat-z,0.0358,,,,51700,,,,,,,T0000085,SD
flat-z,0.0235,,,,,,45800,,,,,T0000085,SD
flat-z,0.0983,,47300,,,44900,48300,,,,,T0000085,SD
flat-z,0.0599,,48300,48300,47300,44400,43400,42900,42900,,,T0000085,SD
flat-z,0.068,,48300,47300,44900,43900,43400,43900,44400,45400,,T0000085,SD
flat-z,0.0588,53700,56100,,56600,,,47800,46800,44900,,T0000085,SD
flat-z,0.0609,,,,,,,,44400,44900,,T0000085,SD
flat-z,0.0716,,46300,,,42900,,41900,,,,T0000085,SD
flat-z,0.0747,,52200,51200,,,,,44900,,,T0000085,SD
flat-z,0.0604,,52200,,,49800,,49800,49300,,,T0000085,SD
flat-z,0.0706,,43900,42900,,41500,41900,,,,,T0000085,SD
flat-z,0.0404,,,,,,,49800,,,,T0000085,SD
flat-z,0.0931,,,52200,,,,52700,53200,,,T0000085,SD
flat-z,0.0721,,44900,48800,49800,50700,51700,52200,52200,51200,,T0000085,SD
flat-z,0.0906,,,,,,,48800,,,,T0000085,SD
flat-z,0.0542,,,,,,,,,,,T0000085,SD
flat-z,0.0563,,,,,,,,,,,T0000085,SD
flat-z,0.0778,,51200,,,50200,,,,43900,,T0000085,SD
flat-z,0.0742,,,49800,,51200,50700,50200,49800,49300,,T0000085,SD
flat-z,0.0727,,,,50700,,,49300,,,,T0000085,SD
flat-z,0.0824,,,,,,,,,43900,,T0000085,SD
flat-z,0.0593,56600,54600,54100,54100,53200,,,,,,T0000085,SD
flat-z,0.0542,49300,49300,48800,,,,,,,,T0000085,SD
flat-z,0.0655,,,,51200,,,,,44900,,T0000085,SD
flat-z,0.0762,,45400,44900,,,50700,,43900,42900,,T0000085,SD
flat-z,0.1536,,41900,40500,,,,,,43400,,T0000085,SD
flat-z,0.0435,,52200,52700,52200,51700,50700,,,,,T0000085,SD
flat-z,0.0353,,47300,,43400,,,41900,,,,T0000085,SD
flat-z,0.046,,,,,43900,,,42900,44400,,T0000085,SD
flat-z,0.0368,,,,,,,,44400,44400,,T0000085,SD
flat-z,0.0522,,56600,,,,,,,,,T0000085,SD
flat-z,0.0353,,46300,,43900,43900,43400,43400,43400,42900,42900,T0000085,SD
flat-z,0.0245,,,,50700,51200,51700,51700,51700,50700,,T0000085,SD
flat-z,0.0573,,,,,,,,,,,T0000085,SD
flat-z,0.0727,,50200,,,,,53700,54600,54600,,T0000085,SD
flat-z,0.045,,,,,,,,,,,T0000085,SD
flat-z,0.0701,,45400,44400,44400,44400,44400,44900,49300,49800,,T0000085,SD
flat-z,0.0762,,53700,53200,52700,,52200,52200,52200,,,T0000085,SD
flat-z,0.1474,,,,,,44400,41900,,,,T0000085,SD
flat-z,0.0768,,,,49300,,,,,,,T0000085,SD
flat-z,0.0757,,,,,,,,,,,T0000085,SD
flat-z,0.0527,51200,,51200,50700,50200,49800,49300,,,,T0000085,SD
flat-z,0.0271,51200,50200,,49800,,,,,,,T0000085,SD
flat-z,0.0302,,50700,50700,,,,,,,,T0000085,SD
flat-z,0.0558,52200,,,,,,,,,,T0000085,SD
flat-z,0.0496,,,,,,,,,49800,,T0000085,SD
flat-z,0.0378,,50700,50700,50700,50700,50200,,,,,T0000085,SD
flat-z,0.0604,,,,,,,45400,45400,,,T0000085,SD
flat-z,0.0742,,,,,,,,,,,T0000085,SD
flat-z,0.0184,,,,,,,,,,,T0000085,SD
flat-z,0.1402,,49300,42900,41900,42400,42400,,,,,T0000085,SD
flat-z,0.086,51200,52200,41500,43400,41900,41500,40000,,40500,,T0000085,SD
flat-z,0.0757,,,50700,51700,43900,43400,42900,42900,42900,,T0000085,SD
flat-z,0.0931,,44400,44400,44400,44400,50700,51200,51700,,42900,T0000085,SD
flat-z,0.11,45400,50700,49300,48800,48800,48300,43900,43900,44400,44400,T0000085,SD
flat-z,0.086,,,,,,39500,,,39000,,T0000085,SD
flat-z,0.108,,,,41900,,,,,,,T0000085,SD
flat-z,0.1372,52700,50700,48300,46800,47800,,42400,40000,39000,,T0000085,SD
flat-z,0.0839,,49300,47300,,42400,41900,41900,41900,42400,,T0000085,SD
flat-z,0.1326,,51700,51200,50700,51700,52200,51700,51200,44900,,T0000085,SD
