"f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48","f49","f50","duration","label","file","strain"
42092.5365818921,40500,40500,41000,41000,41000,41000,41000,40991.5268686332,40984.7387129596,41000,41000,41000,41500,41500,41500,41500,41000,40748.893712647,41000,41500,41500,41900,41424.6464083207,41446.5636964194,42049.8954813966,41770.6536071438,41452.3669202663,41170.3706436048,41000,40982.8126531839,41025.2560304543,41000,41000,41500,41500,41000,41000,41114.4107997467,41180.5362587941,41206.8117946118,41201.6728246695,41173.5547664371,41130.8930373842,41082.1230549806,41035.6802366959,41000,41000,41000,40500,0.0604,"flat","T0000085","SD"
41900,41900,41900,41900,41900,41900,41900,41900,42400,42400,42400,41900,41900,42400,41900,41883.5388597602,42400,42975.5725311299,43521.897147565,44046.9774397217,44558.8169980164,45065.4194128655,45574.7882746853,46094.9271738923,46633.8397009028,47199.5294461333,47800,48300,48300,48300,48300,48300,48800,48300,48300,48800,48800,48300,48800,48800,48800,48300,48300,48800,48800,48300,48300,48332.9223945574,48300,48300,0.0491,"flat-z","T0000085","SD"
41892.1690694982,41871.8591510502,41500,41900,41900,41900,41500,41900,41900,41900,41900,41500,41500,41900,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,0.0481,"flat","T0000085","SD"
42899.9999918447,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42400,42400,42101.8192967434,41900,42383.3073907509,42996.8918420572,42900,41900,41900,42900,42900,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,41900,42400,42400,42400,42900,42900,43400,43900,43900,42932.292276856,0.0486,"flat","T0000085","SD"
47800,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48300,48800,48300,48300,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,0.0286,"flat","T0000085","SD"
49300,49300,49300,49297.4957158094,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49300,49305.1637320455,49300,49300,49300,49300,49373.1779878291,0.0327,"flat","T0000085","SD"
44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44400,44900,44400,44400,44400,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44899.9999999583,0.0281,"flat","T0000085","SD"
44900,44900,44400,44400,44400,43900,43900,43948.365143106,43800.8914954787,43400,42900,42900,42900,42900,42400,41958.603466484,41718.7172008111,41622.0000632643,41610.1109141268,41624.7086136814,41607.4520222115,41500,41500,41900,41000,41000,41500,41500,41000,41500,41000,41000,41000,40500,41000,44100.1848126435,47090.3902959772,50097.505853747,53104.6214115168,56111.7369692866,59118.8525270564,62125.9680848262,65133.083642596,68140.1992003658,71147.3147581356,74154.4303159054,77161.5458736752,80168.661431445,83175.7769892148,86182.8925469846,0.0604,"flat","T0000085","SD"
43400,42900,42400,42900,42900,42900,42900,42400,42400,42400,42400,42400,41900,41900,41943.3337805893,41859.5535064851,41690.5465686713,41478.2003581319,41264.4022658509,41091.0396828123,41000,41000,41000,40999.6310447584,41000,41000,41000,41000,41000,40500,40500,40500,40500,41000,41000,41000,41000,41000,41000,40500,40500,40500,41000,40500,41000,40500,41000,40500,40500,40500,0.0911,"flat","T0000085","SD"
42218.4169989991,42400,42328.0445724793,42400,42400,42400,42400,42149.6670125713,41900,41900,41900,41900,41900,41899.5821282485,41899.7503618808,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41500,41900,41900,41900,41500,41500,41900,41900,41500,41900,41900,41500,41500,41900,41900,41666.3000932935,41455.0667910581,41466.3000932935,41900,41567.005220689,41553.1453956186,41539.2855705482,0.0517,"flat","T0000085","SD"
48231.812885582,49328.3918781414,47800,47300,47300,47300,47300,47300,47300,47300,47300,46800,46800,46800,46800,46798.3502862487,46787.249032135,46776.9726348969,46777.7974917726,46800,46800,46800,47300,47300,47300,47300,47300,47800,47800,47800,47800,47800,48300,48465.5015855078,48299.6179236184,48133.9252999198,48300,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48799.9986291313,0.0563,"flat","T0000085","SD"
47707.4771406003,49300,49300,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48300,48800,48300,48300,48300,48300,48300,48300,48300,48300,48300,48800,48300,48300,48800,48300,48300,48300,48800,48300,48800,48800,43900,43900,43900,43900,43900,43900,43900,43900,43400,43900,43400,43900,43400,0.0496,"flat-z","T0000085","SD"
41348.9989070921,41900,41900,41500,41135.5422156779,40905.1246524818,40798.3974516138,40805.0107542758,40914.6147016699,41116.8594349982,41401.3950954628,41757.8718242657,42175.939762609,42645.2490516946,43155.4498327248,43696.1922469015,44257.1264354267,44827.9025395027,45398.1707003313,45957.5810591147,46495.7837570549,47002.428935354,47467.166735214,47879.647297837,48229.520764425,48506.4372761802,48700.0469743045,48800,48800,48800,48800,48300,48300,43900,43400,43400,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,0.0896,"flat-z","T0000085","SD"
43400,43400,43400,43400,42900,43400,42900,42900,42900,42900,42900,42900,42900,42900,42400,42900,42400,42400,42400,42400,42400,42400,42400,41900,41900,41900,41900,41900,41900,41900,41900,41699.6028687157,41419.0447909753,41278.9643177472,41500,41900,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41499.9995974816,0.0404,"flat","T0000085","SD"
49759.7419194503,49820.9575826058,51252.7206376378,49800,49482.4264541207,49800,50200,50200,50200,50200,50200,50200,50700,50200,50700,50700,50700,50700,50700,50700,51200,51200,51200,51200,51200,51200,51200,51200,51700,51700,51700,51700,51700,51700,51700,51700,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,51700,0.0327,"flat","T0000085","SD"
49300,49800,49800,49800,49800,49800,49800,49800,49800,49300,49300,49300,49300,48800,48800,48800,48800,48800,48800,48300,47872.8610351359,47668.9275458257,47638.3049316389,47731.0985921449,47897.4139269134,48087.3563355136,48251.0312175152,48338.5439724875,48300,48300,48800,48800,48800,48800,48300,48300,48300,48300,48300,48300,47800,48300,42400,41900,41500,41900,41900,41900,41900,41832.1226103932,0.0691,"flat-z","T0000085","SD"
41900,42400,41900,41900,41500,41500,49122.5983257796,50974.7860118542,52826.9736979289,54679.1613840036,76390.4991776195,68701.0390329023,60444.6813253179,53513.6077494795,49800,49800,49800,49800,49800,49800,49300,49300,49300,49300,48800,48800,48300,48800,48708.5241123657,48300,48300,48273.0103260985,48112.3184525274,47876.2979312093,47623.322314067,47411.765153023,47300,47300,47300,47300,47300,47800,47800,47800,47800,47300,47800,47300,42400,29682.2074872551,0.0988,"flat-z","T0000085","SD"
43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43900,43400,43400,43400,43400,43400,43400,43400,43400,43256.8358768346,43043.199271728,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42400,42400,42400,42400,42900,42400,42400,42400,0.0604,"flat","T0000085","SD"
43400,43400,43400,42900,42900,42400,42400,42256.7698349836,41900,41543.8124220518,41250.8924405566,41046.0662480354,40954.1600370095,41000,41000,40500,40500,40500,40500,40500,40500,40000,39500,39500,39510.8530999147,39500,39590.0871434623,39774.6335606073,40014.8764285155,40272.0529242673,40507.4002249432,40682.1555076236,40757.5559493891,40694.83872732,40455.2410184968,40000,39500,39500,39500,40000,39500,39500,39500,39384.5139972398,39500,40000,40194.7759996438,39500,37415.6720010685,38725.6224965757,0.0926,"flat","T0000085","SD"
42405.2376870325,42402.6188435163,42400.8729478388,42400,42400,42400,42400,42400,42400,42400,41900,41435.7473757578,41809.389359901,41740.0225496614,41670.6557394217,41601.2889291821,41310.4469457746,41497.6205177096,41679.885682184,41824.81974201,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,42400,42400,42400,42400,42400,42400,42400,42900,42900,42900,42900,42900,42915.4627948776,42946.3883846328,42992.7767692655,43054.6279487758,0.0302,"flat","T0000085","SD"
45189.1583727379,44725.854779445,45800,43400,42900,42400,41900,41500,41500,41000,40500,40500,40000,39656.4446954887,39558.9793895488,39500,39500,40000,40000,39500,39500,39538.4386144935,39500,39500,39692.6965091916,40073.7102786094,40593.7626842294,41203.5751020281,41853.8689079817,42495.3654780664,43078.7861882585,43554.8524145344,43874.2855328701,43987.8069192422,43846.1379496267,43400,42900,42900,41900,41500,41000,39514.1368014942,43100.1005593653,43230.6440861986,43361.187613032,43491.7311398653,43622.2746666986,43752.8181935319,43883.3617203652,44013.9052471985,0.1489,"flat","T0000085","SD"
42260.8865876548,42347.8324703705,42400,42417.3891765432,42400,42400,42400,41900,41900,41900,41500,41500,41500,41500,41500,41000,41000,41071.0474972546,41034.9155492402,40914.2927948523,40731.8678729862,40510.3294225371,40272.3660824006,40040.6664914718,39837.9192886463,39686.8131128193,39610.0366028862,39630.2783977424,39770.2271362832,40052.5714574039,40500,41000,41000,40500,40500,41000,40895.2414200824,40500,40500,41000,41000,40500,40500,40500,40500,40000,40000,40500,40000,40606.4448617653,0.043,"flat","T0000085","SD"
55600,55600,55100,54600,54100,53700,52700,51700,51700,51200,50586.6555737632,50120.2543609051,49843.7259675946,49800,49800,49300,49300,49300,48800,48800,48800,48800,48300,48800,48300,48800,48800,48800,49300,49914.8591388257,50520.4569499969,51109.1335298766,51673.2289748279,52205.083381214,52697.0368453979,53141.4294637427,53530.6013326115,53856.8925483675,54112.6432073736,54290.1934059929,54381.8832405887,54380.0528075239,54277.0422031617,54065.1915238651,53736.8408659972,53284.3303259211,52700,52200,52700,54556.5976922824,0.1505,"flat","T0000085","SD"
30918.9948646424,31820.0876212542,32721.1803778661,33622.273134478,34523.3658910898,35424.4586477017,31501.1289268029,35803.6838857764,38909.687053919,41020.7293403218,42338.4016540756,43064.2949042714,43400,43571.2066797999,43900,44400,44400,44900,45400,45800,46906.7100314808,47800,47800,48300,48300,47800,46403.7658793134,44900,44400,44900,44400,44900,44900,44900,44900,44900,44900,44900,44900,44900,44886.3457244499,44759.9849604024,44400,43900,43900,44063.3965973876,43964.5287965168,43233.3965973876,41500,38394.339004354,0.1909,"flat-mz","T0000085","SD"
50007.6130037961,49997.866297701,49988.119591606,49978.3728855109,49968.6261794159,49958.8794733208,49949.1327672257,49939.3860611307,49800,49921.3431733072,49800,49800,50200,50200,49800,49800,49800,49800,49800,49800,49800,49799.9197524912,49799.9232597541,49799.96513714,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,49800,50200,49800,49857.2118844833,49861.8402999389,49866.4687153946,49871.0971308502,49875.7255463058,49880.3539617615,49800,49889.6107926728,49894.2392081284,49898.8676235841,49903.4960390397,49908.1244544954,49912.752869951,0.0286,"flat","T0000085","SD"
84380.0215208893,85060.0071736298,84900,84900,84400,84400,84400,41900,83900,41900,45662.3520937522,83900,95152.0755911099,80558.9664487869,56911.3740820703,41000,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,41500,83400,83400,83000,79431.796697468,69946.615019397,58095.534992592,47429.636643858,41500,41500,41500,41500,41000,41500,41932.9478161299,41000,37576.1565516104,30536.4174709612,18755.7827580522,34857.7873763351,33916.5030739919,32975.2187716487,32033.9344693054,31092.6501669622,0.1162,"flat","T0000085","SD"
41472.9051807361,41484.9473226312,41493.9789290525,41500,41503.0105354738,41503.0105354738,41500,41500,41500,41408.3629029023,41251.599434495,41094.0362488401,41000,41000,41012.6045060682,41015.8776867963,41011.2120241263,41000,40984.056294046,40966.8843766397,40952.4099158433,40944.558579719,40947.2560363289,40964.4279537352,41000,41000,40842.22292755,41000,41500,41000,41000,41000,41000,41500,41000,41500,41500,41500,41000,41000,41000,41500,41500,41369.8591833066,41389.0525547365,41408.2459261665,41427.4392975964,41446.6326690264,41465.8260404563,41485.0194118863,0.1024,"flat","T0000085","SD"
52200.0000000306,52200.0000000102,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,51700,51700,52200,52200,51700,51700,51700,51700,51700,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,50700,50700,50200,50200,50200,50402.3519319265,0.0143,"flat","T0000085","SD"
42472.4596074289,42403.6583496264,42334.857091824,42266.0558340216,42850.5368645207,42400,42062.1165253423,41820.8150119763,41660.0240313305,41563.6721548335,41515.6879539138,41500,41500,41500,41500,41500,41500,41500,41000,41000,41500,41000,41000,41000,41000,41000,41000,41000,41500,41500,41000,41500,41000,41500,41500,41500,41900,41900,41900,41900,41900,41900,41900,42400,42400,42400,42400,42400,42415.4631416402,42446.3894249205,0.0389,"flat","T0000085","SD"
46710.3962860521,46482.7961851228,46800,46417.5014354908,46113.4101269225,45848.6702016921,45584.2257871968,45281.0210108338,44900,44400,43900,43900,43900,43400,42944.2862934148,42664.5930671108,42512.7566940995,42440.6135473921,42400,42400,42400,41900,41900,41900,41900,41500,41500,41500,41500,41500,41500,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41500,41500,41500,41445.3073722831,41500,41900,42400,42400,43400,0.0583,"flat","T0000085","SD"
42400,42400,42400,42400,41900,41900,41900,41500,41500,41500,41000,41000,40500,40500,40500,40290.8738987305,39973.8224409049,39669.8597626269,39500,39500,39500,39500,39000,38876.8334257095,39000,39000,39000,39000,38986.1220761363,38958.3662284089,38916.7324568177,38861.2207613629,38791.8311420443,38708.563598862,38611.418131816,38500.3947409063,38375.4934261329,38236.7141874958,38084.0570249949,37917.5219386303,37737.1089284021,37542.8179943101,37334.6491363544,37112.602354535,36876.6776488518,36981.5860531557,36865.1683633856,36748.7506736156,36632.3329838455,36515.9152940754,0.0542,"flat","T0000085","SD"
42400,42400,42400,42400,42400,42400,41900,41900,41900,41500,41500,41500,41500,41500,41000,41331.2333644624,41500,40500,39822.957436857,39697.2823439793,39847.966079112,40000,40000,40093.7423724629,40299.2769765399,40547.3159289293,40768.5713463292,40893.755345438,40853.5800429539,40578.7575555752,40000,39500,40000,39500,40000,40000,40000,40000,40000,40000,40000,40000,39999.5972637888,39998.7917913665,39997.5835827331,39995.9726378885,39993.9589568327,39991.5425395658,39988.7233860878,39985.5014963986,0.0486,"flat","T0000085","SD"
43400,43400,43900,43900,43900,43900,43400,43400,43394.2587497486,43243.8767450523,43046.5563678298,42900,42900,42900,42400,42400,42400,42400,41900,41900,41900,41500,41500,41500,41500,41500,41500,41000,41000,41000,41000,40500,40500,40000,40500,40500,40500,40000,40000,40000,40000,40000,39500,39500,41091.3849271278,45274.1547813832,49456.9246356388,53639.6944898943,57822.4643441498,62005.2341984052,0.0317,"flat","T0000085","SD"
41500,41900,41900,41900,41900,41900,41500,41500,41500,41500,41000,41000,41000,40500,40500,40500,40500,40500,40500,40000,40000,40500,40000,40000,40000,40000,40000,40000,40000,40000,39500,39366.8068000724,39500,39532.6997887135,39500,39500,39500,39500,39500,39500,39500,39500,39000,38876.7049473014,39000,39000,39000,39000,39000,39500,0.107,"flat","T0000085","SD"
40594.7138487893,40567.2608828073,40539.8079168254,40512.3549508434,40484.9019848615,41500,40929.2779661828,40629.2779661828,40500,40500,40500,40000,40500,40500,40000,40000,39925.799485659,39700.4847361483,39500,39500,39804.7956606366,40237.6655993985,40551.7027384612,40500,40000,39500,39113.260714798,38853.6598422642,38741.8653584581,38798.545239439,39044.3674612665,39500,40000,40000,40000,40000,40000,40000,40000,40000,39500,39238.9469904856,39500,40195.9880029631,40641.131765109,40000,38500,39000,39500,38500,0.1008,"flat","T0000085","SD"
51232.0253892897,45738.6276001793,50046.2092000598,51700,51700,51200,51200,50700,50700,50200,49800,49300,49300,49300,49300,48800,48800,48800,48300,48300,48386.5579635361,48381.0851590446,48295.5590851601,48141.9572405174,47932.2571237514,47678.4362334968,47392.4720683885,47086.3421270612,46772.0239081496,46461.4949102886,46166.732632113,45899.7145722576,45672.418229357,45496.8211020462,45384.9006889599,45348.6344887329,45400,45400,44900,44400,44400,45384.5125463362,47853.5376390086,52307.0752780173,56752.3426333062,61199.492552057,65646.6424708077,70093.7923895585,74540.9423083092,78988.09222706,0.0926,"flat","T0000085","SD"
43502.6842051766,41807.3688768986,43400,43400,42900,42900,42900,42900,42900,42900,42650.784909757,42400,42400,42400,42400,42400,41900,41900,41900,41900,41500,41085.528096925,40783.1259584697,40580.5952401529,40465.7375974935,40426.3546860101,40450.2481612217,40525.219678647,40639.0708938048,40779.603462214,40934.6190393933,41091.9192808615,41239.3058421375,41364.5803787401,41455.5445461879,41500,41500,41500,41500,41500,41500,41500,41900,41900,41900,41900,41900,41900,41900,41500,0.0788,"flat","T0000085","SD"
